ID,NEIGHBOURHOOD_NAME,LOCATION_TYPE,SPECIES_BOTANICAL,SPECIES_COMMON,GENUS,SPECIES,CULTIVAR,DIAMETER_BREAST_HEIGHT,CONDITION_PERCENT,PLANTED_DATE,OWNER,Bears Edible Fruit,Type of Edible Fruit,COUNT,LATITUDE,LONGITUDE,LOCATION,Point Location
522916,MAPLE,Park,Prunus virginiana Schubert,Chokecherry,Prunus,virginiana,Schubert,4,65,2014-06-01,Parks,Yes,Schubert Chokecherry,1,53.4777569,-113.359831,"(53.47775690344239, -113.35983100469703)",POINT (-113.35983100469703 53.47775690344239)
349995,ORMSBY PLACE,Park,Prunus virginiana Schubert,Chokecherry,Prunus,virginiana,Schubert,16,65,1990-01-01,Parks,Yes,Schubert Chokecherry,1,53.50030807,-113.6491586,"(53.5003080733796, -113.6491585517558)",POINT (-113.6491585517558 53.5003080733796)
362554,DOWNTOWN,Boulevard,Prunus virginiana Schubert,Chokecherry,Prunus,virginiana,Schubert,24,65,1989-12-31,Parks,Yes,Schubert Chokecherry,1,53.54419295,-113.5119964,"(53.544192945044706, -113.51199643928294)",POINT (-113.51199643928294 53.544192945044706)
323025,SPRUCE AVENUE,Park,Prunus virginiana Schubert,Chokecherry,Prunus,virginiana,Schubert,26,65,1990-01-01,Parks,Yes,Schubert Chokecherry,1,53.56993286,-113.4944508,"(53.569932859143954, -113.49445080534073)",POINT (-113.49445080534073 53.569932859143954)
521591,MAGRATH HEIGHTS,Park,Malus Parkland,Apple,Malus,Parkland,,7,65,2014-05-31,Parks,Yes,Apple,1,53.44911168,-113.5513728,"(53.449111680383396, -113.55137279641379)",POINT (-113.55137279641379 53.449111680383396)
352882,HOLLICK-KENYON,Park,Prunus maackii,"Cherry, Amur",Prunus,maackii,,14,65,2008-06-01,Parks,Yes,Amur Chokecherry,1,53.62118757,-113.4212521,"(53.62118756721784, -113.42125205696021)",POINT (-113.42125205696021 53.62118756721784)
516064,MCNAMARA INDUSTRIAL,Park,Prunus virginiana Schubert,Chokecherry,Prunus,virginiana,Schubert,11,65,1990-06-01,Parks,Yes,Schubert Chokecherry,1,53.55140565,-113.6227057,"(53.55140564520119, -113.62270574451186)",POINT (-113.62270574451186 53.55140564520119)
488590,BLUE QUILL,Buffer,Prunus virginiana Schubert,Chokecherry,Prunus,virginiana,Schubert,12,65,2009-06-01,Parks,Yes,Schubert Chokecherry,1,53.46022163,-113.516958,"(53.46022163423536, -113.51695801685975)",POINT (-113.51695801685975 53.46022163423536)
479978,JAMIESON PLACE,Centre Median,Prunus virginiana Schubert,Chokecherry,Prunus,virginiana,Schubert,10,65,1990-01-01,Parks,Yes,Schubert Chokecherry,1,53.4888978,-113.6472424,"(53.48889780291613, -113.64724241316586)",POINT (-113.64724241316586 53.48889780291613)
403937,SOUTH TERWILLEGAR,Park,Prunus virginiana Schubert,Chokecherry,Prunus,virginiana,Schubert,9,65,2011-06-01,Parks,Yes,Schubert Chokecherry,1,53.44099145,-113.5839268,"(53.44099145291331, -113.58392678791725)",POINT (-113.58392678791725 53.44099145291331)
389574,HOLLICK-KENYON,Park,Prunus virginiana Schubert,Chokecherry,Prunus,virginiana,Schubert,16,65,1990-01-01,Parks,Yes,Schubert Chokecherry,1,53.61608989,-113.4204933,"(53.616089886445096, -113.42049326079218)",POINT (-113.42049326079218 53.616089886445096)
540330,SOUTH TERWILLEGAR,Boulevard,Prunus virginiana Schubert,Chokecherry,Prunus,virginiana,Schubert,6,65,2015-06-01,Parks,Yes,Schubert Chokecherry,1,53.43563096,-113.584219,"(53.43563095730541, -113.58421896888457)",POINT (-113.58421896888457 53.43563095730541)
361682,AVONMORE,Park,Prunus virginiana Schubert,Chokecherry,Prunus,virginiana,Schubert,10,65,1989-12-31,Parks,Yes,Schubert Chokecherry,1,53.51164996,-113.4627323,"(53.51164995889052, -113.46273227276981)",POINT (-113.46273227276981 53.51164995889052)
164478,WEINLOS,Park,Prunus virginiana Schubert,Chokecherry,Prunus,virginiana,Schubert,15,65,1989-12-31,Parks,Yes,Schubert Chokecherry,1,53.45650366,-113.4116715,"(53.45650366122188, -113.41167148761174)",POINT (-113.41167148761174 53.45650366122188)
534894,MORIN INDUSTRIAL,Boulevard,Prunus virginiana Schubert,Chokecherry,Prunus,virginiana,Schubert,6,65,2016-06-01,Parks,Yes,Schubert Chokecherry,1,53.54811338,-113.6396644,"(53.548113380378766, -113.63966442175456)",POINT (-113.63966442175456 53.548113380378766)
193738,ORMSBY PLACE,Park,Prunus virginiana Schubert,Chokecherry,Prunus,virginiana,Schubert,14,65,1990-01-01,Parks,Yes,Schubert Chokecherry,1,53.49704768,-113.64193,"(53.4970476771794, -113.64193000111872)",POINT (-113.64193000111872 53.4970476771794)
390018,SOUTH TERWILLEGAR,Park,Prunus virginiana Schubert,Chokecherry,Prunus,virginiana,Schubert,9,65,2010-06-01,Parks,Yes,Schubert Chokecherry,1,53.44027377,-113.5816068,"(53.44027376559006, -113.58160679623408)",POINT (-113.58160679623408 53.44027376559006)
218546,WOODCROFT,Park,Prunus virginiana Schubert,Chokecherry,Prunus,virginiana,Schubert,21,65,1990-01-01,Parks,Yes,Schubert Chokecherry,1,53.56178203,-113.5597944,"(53.56178202823981, -113.55979436687103)",POINT (-113.55979436687103 53.56178202823981)
379887,KINISKI GARDENS,Boulevard,Prunus maackii,"Cherry, Amur",Prunus,maackii,,17,65,1990-01-01,Parks,Yes,Amur Chokecherry,1,53.47278621,-113.3967195,"(53.47278620557758, -113.39671954718092)",POINT (-113.39671954718092 53.47278620557758)
149135,GLENORA,Park,Prunus virginiana Schubert,Chokecherry,Prunus,virginiana,Schubert,8,65,1990-01-01,Parks,Yes,Schubert Chokecherry,1,53.5467029,-113.5570954,"(53.54670290107827, -113.55709538807496)",POINT (-113.55709538807496 53.54670290107827)
199147,SOUTH EDMONTON COMMON,Boulevard,Prunus virginiana Schubert,Chokecherry,Prunus,virginiana,Schubert,14,65,1990-01-01,Parks,Yes,Schubert Chokecherry,1,53.45150453,-113.4828432,"(53.451504525415, -113.48284316026144)",POINT (-113.48284316026144 53.451504525415)
347514,SILVER BERRY,Boulevard,Prunus maackii,"Cherry, Amur",Prunus,maackii,,16,65,2004-05-31,Parks,Yes,Amur Chokecherry,1,53.46146748,-113.3774807,"(53.46146748115486, -113.37748065219024)",POINT (-113.37748065219024 53.46146748115486)
350528,BRITANNIA YOUNGSTOWN,Park,Prunus virginiana Schubert,Chokecherry,Prunus,virginiana,Schubert,16,65,1990-01-01,Parks,Yes,Schubert Chokecherry,1,53.54904417,-113.5936597,"(53.5490441705735, -113.59365966411403)",POINT (-113.59365966411403 53.5490441705735)
475276,DONSDALE,Boulevard,Prunus virginiana Schubert,Chokecherry,Prunus,virginiana,Schubert,11,65,2006-06-01,Parks,Yes,Schubert Chokecherry,1,53.48423313,-113.6378711,"(53.484233129460435, -113.63787110520599)",POINT (-113.63787110520599 53.484233129460435)
453043,RAMPART INDUSTRIAL,Park,Prunus virginiana Schubert,Chokecherry,Prunus,virginiana,Schubert,22,65,1990-01-01,Parks,Yes,Schubert Chokecherry,1,53.61386198,-113.5864524,"(53.61386198483663, -113.5864524002095)",POINT (-113.5864524002095 53.61386198483663)
169188,WILD ROSE,Park,Prunus maackii,"Cherry, Amur",Prunus,maackii,,10,65,1989-12-31,Parks,Yes,Amur Chokecherry,1,53.46661484,-113.3932742,"(53.46661484157345, -113.39327419331296)",POINT (-113.39327419331296 53.46661484157345)
242802,WESTMOUNT,Park,Prunus virginiana Schubert,Chokecherry,Prunus,virginiana,Schubert,28,65,1990-01-01,Parks,Yes,Schubert Chokecherry,1,53.55261764,-113.5315173,"(53.55261764136011, -113.53151726976255)",POINT (-113.53151726976255 53.55261764136011)
218334,WOODCROFT,Park,Prunus virginiana Schubert,Chokecherry,Prunus,virginiana,Schubert,21,65,1990-01-01,Parks,Yes,Schubert Chokecherry,1,53.56044188,-113.5614218,"(53.56044188257469, -113.56142183435327)",POINT (-113.56142183435327 53.56044188257469)
175943,ROSSLYN,Park,Prunus virginiana Schubert,Chokecherry,Prunus,virginiana,Schubert,12,65,1990-01-01,Parks,Yes,Schubert Chokecherry,1,53.59831354,-113.5047278,"(53.59831354124147, -113.50472781155206)",POINT (-113.50472781155206 53.59831354124147)
214314,DUGGAN,Buffer,Prunus virginiana Schubert,Chokecherry,Prunus,virginiana,Schubert,18,65,1990-01-01,Parks,Yes,Schubert Chokecherry,1,53.46803582,-113.499462,"(53.468035815549285, -113.49946197656394)",POINT (-113.49946197656394 53.468035815549285)
371082,GRIESBACH,Park,Prunus virginiana Schubert,Chokecherry,Prunus,virginiana,Schubert,12,65,2009-05-31,Parks,Yes,Schubert Chokecherry,1,53.60426917,-113.4925982,"(53.60426917271667, -113.49259815110086)",POINT (-113.49259815110086 53.60426917271667)
377527,AMBLESIDE,Park,Prunus virginiana Schubert,Chokecherry,Prunus,virginiana,Schubert,12,65,2010-06-01,Parks,Yes,Schubert Chokecherry,1,53.42986667,-113.6087288,"(53.4298666719947, -113.60872881878281)",POINT (-113.60872881878281 53.4298666719947)
204776,WESTRIDGE,Park,Prunus virginiana Schubert,Chokecherry,Prunus,virginiana,Schubert,17,65,1990-01-01,Parks,Yes,Schubert Chokecherry,1,53.5069136,-113.6045009,"(53.50691360029895, -113.60450087899675)",POINT (-113.60450087899675 53.50691360029895)
440283,BEAUMARIS,Buffer,Prunus virginiana Schubert,Chokecherry,Prunus,virginiana,Schubert,10,65,1990-01-01,Parks,Yes,Schubert Chokecherry,1,53.62056985,-113.518978,"(53.620569848483996, -113.51897799401688)",POINT (-113.51897799401688 53.620569848483996)
207334,KEHEEWIN,Park,Prunus virginiana Schubert,Chokecherry,Prunus,virginiana,Schubert,14,65,1990-01-01,Parks,Yes,Schubert Chokecherry,1,53.44924181,-113.509831,"(53.44924181385315, -113.50983099784219)",POINT (-113.50983099784219 53.44924181385315)
488310,GREENFIELD,Buffer,Prunus virginiana Schubert,Chokecherry,Prunus,virginiana,Schubert,7,65,2009-06-01,Parks,Yes,Schubert Chokecherry,1,53.47542923,-113.5168581,"(53.47542923037671, -113.51685813584926)",POINT (-113.51685813584926 53.47542923037671)
519587,WALKER,Park,Prunus virginiana Schubert,Chokecherry,Prunus,virginiana,Schubert,10,65,2014-06-01,Parks,Yes,Schubert Chokecherry,1,53.41762305,-113.4418941,"(53.41762304854757, -113.44189408702717)",POINT (-113.44189408702717 53.41762304854757)
268889,PLEASANTVIEW,Buffer,Prunus virginiana Schubert,Chokecherry,Prunus,virginiana,Schubert,22,65,1990-01-01,Parks,Yes,Schubert Chokecherry,1,53.49799964,-113.5152775,"(53.49799963701527, -113.51527752847197)",POINT (-113.51527752847197 53.49799963701527)
340870,MACTAGGART,Centre Median,Prunus virginiana Schubert,Chokecherry,Prunus,virginiana,Schubert,20,65,1990-01-01,Parks,Yes,Schubert Chokecherry,1,53.44466664,-113.5649616,"(53.44466664254089, -113.56496159768841)",POINT (-113.56496159768841 53.44466664254089)
329073,BLUE QUILL ESTATES,Park,Prunus virginiana Schubert,Chokecherry,Prunus,virginiana,Schubert,12,65,1990-01-01,Parks,Yes,Schubert Chokecherry,1,53.45746035,-113.5363307,"(53.45746034708488, -113.53633068432067)",POINT (-113.53633068432067 53.45746034708488)
479117,MORIN INDUSTRIAL,Boulevard,Prunus virginiana Schubert,Chokecherry,Prunus,virginiana,Schubert,12,65,2009-06-01,Parks,Yes,Schubert Chokecherry,1,53.5430427,-113.6396229,"(53.54304269663711, -113.63962290661728)",POINT (-113.63962290661728 53.54304269663711)
