sourceid,dstid,hod,ride time
75,114,16,26.56516667
127,62,14,11.5795
126,72,14,20.29266667
124,92,14,11.70333333
125,82,14,16.42416667
130,19,2,26.50416667
5,4,21,9.8915
129,42,14,17.76433333
128,52,14,26.804
129,93,20,13.23816667
119,139,20,3.326
59,22,20,9.769166667
55,62,20,7.543
56,52,20,13.33233333
78,64,17,4.018666667
77,74,17,23.82183333
57,42,20,7.129833333
76,84,17,16.08616667
62,128,5,18.81116667
64,108,5,24.36383333
61,138,5,13.20533333
90,4,17,38.701
53,82,20,18.70683333
40,68,12,7.639833333
42,48,12,15.007
108,42,1,12.3615
44,28,12,5.768
106,62,1,11.62616667
58,32,20,28.90033333
41,58,12,31.29383333
104,82,1,22.6625
45,18,12,13.25883333
109,32,1,23.45
54,72,20,29.8575
43,38,12,4.678333333
52,92,20,31.40833333
107,52,1,22.3205
75,94,17,25.56116667
59,132,22,15.80666667
32,121,15,38.25666667
85,100,2,17.836
84,110,2,9.709
33,111,15,26.87666667
82,130,2,14.91316667
141,79,2,15.49633333
140,89,2,8.447166667
118,8,2,27.78616667
34,101,15,24.508
83,120,2,14.00233333
125,60,4,17.65983333
122,90,4,11.2645
30,141,15,8.946333333
81,140,2,12.48166667
129,20,4,8.128166667
140,16,18,27.84016667
31,131,15,14.16016667
123,80,4,9.381666667
14,3,20,20.32983333
128,30,4,2.512666667
49,24,1,3.388166667
45,64,1,7.456833333
44,74,1,10.90383333
127,40,4,4.25
47,44,1,13.734
42,94,1,4.764
126,50,4,14.53833333
46,54,1,25.6805
124,70,4,11.449
58,141,1,23.39033333
59,131,1,22.29216667
48,34,1,22.90416667
106,123,19,10.0285
105,133,19,13.8905
107,113,19,32.5815
70,20,5,20.19166667
44,13,16,17.63716667
41,43,16,31.36916667
42,33,16,21.3965
43,23,16,34.09266667
40,53,16,34.84516667
82,24,18,26.42816667
81,34,18,19.2855
80,44,18,36.29116667
83,14,18,29.53833333
31,11,12,3.740333333
30,21,12,17.797
51,111,15,12.2215
50,121,15,34.0215
52,101,15,38.228
100,25,22,19.175
101,15,22,11.684
52,41,8,12.23816667
50,61,8,2.7265
53,31,8,36.06066667
55,11,8,16.9775
8,93,22,35.30366667
9,83,22,22.582
54,21,8,5.2985
24,106,3,7.029
21,136,3,23.792
22,126,3,1.974666667
23,116,3,31.36066667
50,125,15,22.627
51,115,15,21.93566667
52,105,15,22.53383333
2,141,16,12.62
10,61,16,15.62316667
14,21,16,19.32483333
13,31,16,2.294666667
1,17,5,14.70983333
11,51,16,7.979
5,111,16,37.36716667
83,62,19,3.206166667
86,32,19,18.56783333
62,134,18,32.69466667
64,114,18,20.52516667
87,22,19,27.765
108,23,20,20.273
109,13,20,21.36316667
103,125,12,20.29566667
85,42,19,22.5215
102,135,12,4.193333333
23,1,2,21.59183333
82,72,19,27.7405
12,41,16,24.82183333
101,93,20,20.99933333
65,104,18,25.739
41,106,12,22.20183333
40,116,12,16.2625
104,115,12,12.41766667
102,83,20,22.39616667
87,125,9,17.33633333
86,135,9,20.48683333
88,115,9,9.975
81,82,19,21.1055
128,3,12,29.30416667
89,105,9,12.58383333
121,11,4,3.0825
38,70,20,6.010333333
37,80,20,15.84083333
4,121,16,24.27566667
39,107,4,12.1775
37,127,4,13.9855
36,90,20,15.58466667
36,137,4,16.552
107,33,20,21.82133333
88,12,19,18.87416667
6,101,16,9.8355
99,117,19,27.32783333
120,15,19,31.04383333
97,137,19,19.15833333
84,52,19,10.73466667
15,11,16,45.67283333
39,60,20,25.56866667
103,73,20,26.5705
65,120,0,11.01733333
67,100,0,18.14083333
120,21,4,19.5055
64,130,0,12.36233333
63,140,0,14.561
106,43,20,21.46716667
